Category,City,Container,Customer ID,Customer Name,Customer Segment,Department,Item ID,Item,Order Date,Order ID,Order Priority,Postal Code,Region,Row ID,Ship Date,Ship Mode,State,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Paper,Lombard,Small Box,3035,Mark Bailey,Home Office,Office Supplies,10074,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),11/8/2016,89128,Low,60148,Central,11/18/1951,11/9/2016,Regular Air,Illinois,0.01,10,0.36,-76,53,5,5
Paper,Lombard,Wrap Bag,3035,Mark Bailey,Home Office,Office Supplies,10079,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",11/11/2014,89128,Low,60148,Central,11/19/1951,11/12/2014,Regular Air,Illinois,0.04,12,0.39,52,76,1,6
Pens & Art Supplies,Southbury,Wrap Bag,3385,Daniel Richmond,Corporate,Office Supplies,11012,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",11/23/2015,88745,Low,6488,East,3/1/1961,11/23/2015,Express Air,Connecticut,0.04,5,0.57,-22,16,2,3
Binders and Binder Accessories,Coachella,Small Box,3133,Kristine Singleton,Corporate,Office Supplies,10646,Fellowes Black Plastic Comb Bindings,1/13/2016,86789,Medium,92236,West,6/27/1961,1/25/2016,Regular Air,California,0.1,12,0.39,-350,65,8,6
Rubber Bands,Coachella,Wrap Bag,3133,Kristine Singleton,Corporate,Office Supplies,10138,Assorted Color Push Pins,1/13/2016,86789,Medium,92236,West,6/28/1961,1/25/2016,Regular Air,California,0.03,10,0.52,4,19,1,2
Storage & Organization,Hot Springs,Small Box,1697,Holly Osborne,Home Office,Office Supplies,10896,"Fellowes Personal Hanging Folder Files, Navy",9/4/2015,86338,Medium,71901,South,4/13/1968,9/4/2015,Regular Air,Arkansas,0,9,0.57,-254,130,6,13
Tables,Woodmere,Jumbo Box,1603,Dwight Pentecost,Small Business,Furniture,10550,"Bevis Round Conference Table Top, X-Base",1/13/2016,89679,Critical,11598,East,6/6/1964,1/13/2016,Delivery Truck,New York,0.05,1,0.76,-537,187,29,179
Office Furnishings,Laurel,Medium Box,2924,Courtney Nelson,Consumer,Furniture,10535,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",10/20/2015,86591,Critical,20707,East,3/23/1950,10/20/2015,Regular Air,Maryland,0.02,2,0.69,-106,227,14,111
Paper,Laurel,Wrap Bag,2924,Courtney Nelson,Consumer,Office Supplies,11122,"TOPS Money Receipt Book, Consecutively Numbered in Red,",10/18/2016,86591,Critical,20707,East,3/24/1950,10/18/2016,Regular Air,Maryland,0.01,8,0.4,45,69,3,8
Rubber Bands,Woodmere,Wrap Bag,1603,Dwight Pentecost,Small Business,Office Supplies,10573,Stockwell Push Pins,1/13/2016,89679,Critical,11598,East,6/5/1964,1/13/2016,Regular Air,New York,0.09,9,0.52,2,19,1,2
